nome,class,país,ano,lucro,custo,vitórias,indicações,nota_media,total_votos,filme_categoria
Garota Exemplar,14,EUA,2014,369330536,61000000,64,188,8.07,1068900,Melhores
Gladiador,14,EUA,2000,465387186,103000000,60,104,8.491,1620900,Melhores
Glória Feita de Sangue,14,EUA,1957,5477,935000,5,3,8.229000000000001,212400,Melhores
Godzilla Minus One,12,Japão,2023,115857413,15000000,41,56,8.45,49508,Melhores
Golpe de Mestre,18,EUA,1973,156000000,5500000,18,6,8.205,279800,Melhores
Gran Torino,14,Alemanha,2008,269958228,33000000,21,22,8.099,815900,Melhores
Green Book: O Guia,12,EUA,2018,321752656,23000000,58,123,8.293000000000001,573000,Melhores
Guerreiro,12,EUA,2011,23308615,25000000,6,22,8.213000000000001,498200,Melhores
Gênio Indomável,14,EUA,1997,225933435,10000000,25,61,8.344,1068700,Melhores
Harry Potter e as Relíquias da Morte - Parte 2,12,Reino Unido,2011,1356962211,125000000,48,95,8.161,948900,Melhores
Histórias Cruzadas,12,EUA,2011,216639112,25000000,79,121,8.116999999999999,493900,Melhores
Homem-Aranha: Através do Aranhaverso,10,EUA,2023,690897910,150000000,100,160,8.599,370300,Melhores
Homem-Aranha: No Aranhaverso,10,Canadá,2018,384298736,90000000,85,61,8.395,671800,Melhores
Homem-Aranha: Sem Volta para Casa,12,EUA,2021,1921847111,200000000,35,71,8.316,880700,Melhores
Hotel Ruanda,14,EUA,2004,33882243,17500000,16,49,8.065,371800,Melhores
Ilha do Medo,16,EUA,2010,294850027,80000000,11,66,8.267,1456900,Melhores
Incêndios,14,Canadá,2010,6797861,6800000,41,19,8.221,200550,Melhores
Indiana Jones e a Última Cruzada,Livre,EUA,1989,474171806,48000000,9,24,8.191,811400,Melhores
Interestelar,10,EUA,2014,733202212,165000000,44,148,8.699,2099300,Melhores
Intocáveis,14,França,2011,426590315,10165000,38,40,8.529,929800,Melhores
Intriga Internacional,14,EUA,1959,150007,3101000,9,7,8.186,345600,Melhores
Janela Indiscreta,12,EUA,1954,37040788,1000000,6,13,8.353,521500,Melhores
"Jogos, Trapaças e Dois Canos Fumegantes",18,Reino Unido,1998,3753929,1219200,13,9,8.164,615600,Melhores
Julgamento em Nuremberg,10,EUA,1961,12180,3000000,16,26,8.046,86565,Melhores
Jurassic Park - O Parque dos Dinossauros,Livre,EUA,1993,1114456337,63000000,44,27,8.138,1067300,Melhores
Kill Bill: Volume 1,18,EUA,2003,180908413,30000000,30,103,8.037,1193600,Melhores
